Year,Office,TotalBudget,TotalQty,AvgUnitCost
2017,Accounting Unit,571455.0,516,3957.4561403508774
2017,Administrative Services Unit,5758042.56,23083,22889.93291666667
2017,Admission and Registration Office,1842225.0,1390,4013.9634146341464
2017,Alumni Affairs Office,51825.0,47,2070.8695652173915
2017,Budget Management Unit,28530.0,41,508.3333333333333
2017,Cashiering Unit,690126.0,924,6033.790697674419
2017,College of Architecture and Fine Arts,1653691.6,536,4046.9227272727276
2017,College of Arts and Social Sciences,2843937.0,396,22681.39024390244
2017,College of Business and Accountancy,3283023.0,1585,8260.355555555556
2017,College of Computer Studies,19730811.0,1407,24494.072835820894
2017,College of Education,2403140.12,2081,5350.535652173913
2017,College of Engineering,6035570.0,428,130615.15625
2017,College of Law,336410.0,342,3691.7045454545455
2017,College of Public Administration & Governance,167210.0,173,3729.242424242424
2017,College of Technology,681755.0,1311,2230.390625
2017,Commission on Audit,31620.0,56,1181.6666666666667
2017,Dental Office,921315.0,2267,4362.075757575758
2017,Extension Services Management Office,229870.0,118,4021.6666666666665
2017,Gender and Development Office,360742.0,287,12110.785714285714
2017,Graduate Studies,1319435.0,4314,5913.387096774193
2017,Guidance & Counseling,1814632.8,1196,6331.655257731959
2017,Human Resource Development & Management Office,1609002.96,616,4884.887191011236
2017,Infrastructure and Management Office,13587521.0,389,120678.82727272727
2017,Institutional Linkages,199124.0,177,3234.2580645161293
2017,Internal Audit Services,126710.0,22,5085.0
2017,International Affairs and Linkages Office,145389.0,213,1865.923076923077
2017,National Service Training Program,48515.0,160,950.625
2017,Office of Culture and Arts,3933420.0,820,66142.40384615384
2017,Office of Student Affairs Services,24210.0,72,299.70588235294116
2017,Office of University Health Services,1774830.56,25671,3477.4211111111113
2017,Office of the University President,212630.0,666,1465.0344827586207
2017,Office of the University/Board Secretary,56965.0,172,352.0967741935484
2017,Office of the Vice President for Academic Affairs,238555.0,107,7041.451612903225
2017,Office of the Vice President for Administration,165983.0,214,2207.9189189189187
2017,"Office of the Vice President for Research, Innovation and Extension",26460.0,35,716.3157894736842
2017,Panrehiyong Sentro ng Wikang Filipino,108710.0,359,3404.9615384615386
2017,Physical Plant and General Services Unit,14128780.0,38840,3331.956422018349
2017,Planning Office,219910.0,110,3389.2
2017,Procurement Unit,1233835.0,322,29456.617647058825
2017,Public Affairs Office,98009.0,186,3355.5925925925926
2017,Quality Assurance Office,2397510.0,697,78229.37931034483
2017,Records & Archives Unit,141251.0,1425,683.3333333333334
2017,Scholarship Unit,303788.8,323,3946.4976744186047
2017,Sports Development and Management Office,3654015.0,7944,9875.51655629139
2017,Student Development,1085535.0,293,17420.26785714286
2017,Supply and Property Management Unit,2192757.0,10784,28129.491803278688
2017,"Technology, Development, Transfer and Commercialization Office",269050.0,85,3321.7241379310344
2017,University Hotel,3413870.0,13204,3615.0172413793102
2017,University Secretary,37695.0,184,383.1333333333333
2017,VP for Institutional Linkages & External Affairs,31767.0,63,765.0952380952381
2018,Accounting Unit,260332.29,2440,1930.8671111111112
2018,Administrative Services Unit,4932903.85,29705,5956.897727272727
2018,Admission and Registration Office,1315055.2,1695,3737.978909090909
2018,Alumni Affairs Office,82072.73999999999,66,3305.2891304347822
2018,Budget Management Unit,35702.06,53,809.327
2018,Cashiering Unit,1076514.47,803,7418.4715625
2018,Center for Tarlaqueño Studies,6015.47,43,158.67384615384614
2018,College of Architecture and Fine Arts,402307.2,438,7258.74
2018,College of Arts and Social Sciences,231298.7,342,2549.5489130434785
2018,College of Business and Accountancy,179022.2,794,229.098
2018,College of Computer Studies,105202.89,653,393.1227272727273
2018,College of Criminal Justice and Education,599776.0599999999,1179,2326.4554999999996
2018,College of Education,323086.97000000003,690,3799.4156
2018,College of Engineering,313878.27,1411,567.2104054054054
2018,College of Law,271902.51,205,8815.652916666668
2018,College of Public Administration & Governance,27467.28,88,488.8370588235294
2018,Commission on Audit,26378.51,75,836.9927777777779
2018,Dental Office,535813.02,2087,5515.02375
2018,Extension Services Management Office,146654.41,247,3832.8736
2018,Gender and Development Office,86659.0,195,2156.8127272727274
2018,Guidance & Counseling,2480551.53,17046,6114.821724137931
2018,Human Resource Development & Management Office,1124587.1400000001,441,4183.9972727272725
2018,Infrastructure and Management Office,387292.33999999997,405,3190.0214285714287
2018,Institutional Linkages,219198.39,87,4276.357333333333
2018,Internal Audit Services,116674.06,59,5246.4
2018,International Affairs and Linkages Office,86193.47,192,814.2530434782609
2018,National Service Training Program,86136.08,157,589.3451724137932
2018,Office of Culture and Arts,3884117.29,1112,6411.177924528301
2018,Office of Student Affairs Services,397457.51,31,27846.272142857142
2018,Office of University Health Services,762247.75,26915,2113.123950617284
2018,Office of the University President,364814.61,632,4551.203387096774
2018,Office of the University/Board Secretary,200780.14,211,5562.416956521739
2018,Office of the Vice President for Academic Affairs,145276.43,85,4314.634333333333
2018,Office of the Vice President for Administration,102286.22,140,2598.4445454545453
2018,"Office of the Vice President for Research, Innovation and Extension",64973.71,43,3172.321111111111
2018,Panrehiyong Sentro ng Wikang Filipino,96522.07,266,5279.424
2018,Physical Plant and General Services Unit,13826490.0,876994,7784.320945945946
2018,Placement & Scholarship Office,202478.88,543,3142.112
2018,Planning Office,529241.79,309,10963.285945945947
2018,Procurement Unit,312741.53,208,4827.4746875
2018,Public Affairs Office,73849.86,42,3225.6438095238095
2018,Quality Assurance Office,104820.5,487,1807.7991304347825
2018,Records & Archives Unit,909022.72,327,13205.75924528302
2018,Sports Development and Management Office,4249443.21,9955,5247.294338624339
2018,Student Development,183650.5,206,5213.829666666667
2018,Supply and Property Management Unit,475434.58999999997,10870,1394.8347169811318
2018,"Technology, Development, Transfer and Commercialization Office",16576.09,35,418.1666666666667
2018,University Hotel,2547466.25,10346,3921.782594936709
2018,VP for Institutional Linkages & External Affairs,157730.04,78,3870.379047619047
2019,Accounting Unit,587330.6,5463,2750.7118421052633
2019,Administrative Services Unit,6197893.4,47382,11257.397674418604
2019,Admission and Registration Office,1863813.4,1026,11759.694482758621
2019,Alumni Affairs Office,68520.56,84,1655.039230769231
2019,Budget Management Unit,71176.19,72,803.9742857142857
2019,Cashiering Unit,1264913.51,802,7037.3896774193545
